,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
1175,Jacob,Fillman,Virginia Polytechnic Institute and State University,Assistant Professor,Jacob Fillman,Jacob Fillman,2015,Y,POSTDOC,M ,,Texas State University(2019),Mathematics,https://www.math.txstate.edu/about/people/faculty/fillman.html,Download,Rice University,2015,.,,Baylor University,2009,"Virignia Tech, 2015-2018",Virginia Tech,,
1176,Jacob,Grohs,Virginia Polytechnic Institute and State University,Assistant Professor,Jacob Grohs,Jacob Grohs,2015,Y,ASSOC,M ,,,Engineering Education,https://enge.vt.edu/People/researchfaculty/jrgrohs.html,,Virignia Tech,2015,Virignia Tech; Virignia Tech,2009;2012,Virignia Tech,2008,,,,['AUTHOR_ID:56763780800']
1177,Jacob,Lahne,Virginia Polytechnic Institute and State University,Assistant Professor,Jacob Lahne,Jacob Lahne,2017,Y,ASST,M ,,,Food Science and Technology,https://www.fst.vt.edu/aboutus/faculty/jlahne.html,,University of Vermont,2014,University of Illinois,2010,Oberlin College,2006,"Drexel University, 2014-2017","University of California, Davis, 2015",,['AUTHOR_ID:36444799100']
1178,Jacquelyn,Pelzer,Virginia Polytechnic Institute and State University,Associate Professor,Jacquelyn M. Pelzer,Jacquelyn Pelzer,2008,Y,ASSOC,F,,,Public Health Program,https://publichealth.vt.edu/people/facultystaff/jacquelynpelzer.html ; https://www.linkedin.com/in/jacque-pelzer-4a84a822/,,Virginia Tech,1992-1997,.,,Virginia Commonwealth University,1978-1982,,,,['AUTHOR_ID:55989450600']
1179,Jactone,Ogejo,Virginia Polytechnic Institute and State University,Associate Professor,Jactone A. Ogejo,Jactone Ogejo,2005,Y,ASSOC,M ,,,Biological Systems Engineering,https://www.bse.vt.edu/about/people/tenured_and_tenure_track_faculty/ogejo_jactone.html,,"University of Illinois, Urbana-Champaign",1997,"University of Illinois, Urbana-Champaign",1989,"University of Nairobi, Kenya",1983,,"Oklahoma State University, 1997-1999; North Carolina State Unviersity, 1999-2004",,['AUTHOR_ID:8950089200']
1180,Jaime,Camelio,Virginia Polytechnic Institute and State University,Associate Professor,Jaime A. Camelio,Jaime Camelio,2008,Y,PROF (DIR),M ,,University of Georgia(2020),Mechanical Engineering,https://www.linkedin.com/in/jcamelio/,,University of Michigan,1998-2002,University of Michigan,2000-2002,Pontifical Catholic University of Chile,1989-1996,"Michigan Technologyical University, 2005-2008; Virginia Tech, 2008-2020",,,['AUTHOR_ID:6603341254']
1181,Jaime,De,Virginia Polytechnic Institute and State University,Associate Professor,Jaime De La Reelopez,Jaime De La Reelopez,1984,Y,ASSOC,M ,,,Electrical and Computer Engineering,https://ece.vt.edu/people/profile/delaree,,University of Pittsburgh,1984,University of Pittsburgh,1981,Tecnologico de Monterrey,1980,,,,"['AUTHOR_ID:7006347604', 'AUTHOR_ID:6603422531', 'AUTHOR_ID:57084429000', 'AUTHOR_ID:57210108075', 'AUTHOR_ID:57084414100', 'AUTHOR_ID:17433927600']"
1182,James,Brown,Virginia Polytechnic Institute and State University,Assistant Professor,James A. Brown,James Brown,,,GRAD ASST,,,,.,https://www.linkedin.com/in/jamesbrownatvt/,https://support.psyc.vt.edu/sites/default/files/2019-05/cv_jmb.pdf,,,,,,,,,,"['AUTHOR_ID:7409450669', 'AUTHOR_ID:57198738511', 'AUTHOR_ID:57194861911']"
1183,James,Parkhurst,Virginia Polytechnic Institute and State University,Associate Professor,James A. Parkhurst,James Parkhurst,1883,Y,ASSOC,M,,,Fish and Wildlife Conservation,https://www.linkedin.com/in/jim-parkhurst-31a73212/,,Penn State University,1984-1989,University of Rhode Island,1974-1977,"University of Massachusetts, Amherst",1970-1974,"University of Massachusetts, Amherst,1989-1993",,,['AUTHOR_ID:7003894832']
1184,James,Spotila,Virginia Polytechnic Institute and State University,Associate Professor,James A. Spotila,James Spotila,,,,,,,.,https://geos.vt.edu/people/Everyone/James-Spotila.html,,,,,,,,,,,['AUTHOR_ID:7006458941']
1185,James,Yardley,Virginia Polytechnic Institute and State University,Associate Professor,James A. Yardley,James Yardley,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24381263000']
1186,James,Campbell,Virginia Polytechnic Institute and State University,Professor,James B. Campbell,James Campbell,1976,Y,PROF,M,,,Geography,https://www.linkedin.com/in/jim-campbell-45461744/,,University of Kansas,1972-1976,University of Kansas,1970-1972,Dartmouth College,1962-1966,,,,"['AUTHOR_ID:7404876822', 'AUTHOR_ID:8860165400']"
1187,James,Bassett,Virginia Polytechnic Institute and State University,Assistant Professor,James Bassett,James Bassett,2008,Y,ASST,M,,,Architecture,https://jim-bassett.com/Jim-Bassett,,.,,Southern California Institute of Architecture,,North Carolina State University,,University of Michigan. 2005-2008,,,
1188,James,Anderson,Virginia Polytechnic Institute and State University,Assistant Professor,James C. Anderson,James Anderson,2017,N,ASSOC,M,,University of Georgia,"Agricultural Leadership, Education and Communication",https://www.linkedin.com/in/jcandersonii/,,"University of Missour, Columba",2005-2007,University of Delaware; Liberty University,2001-2003; 2013-2018,"University of Illinois, Urbana-Champaign",1996-2000,"University of Illinois, Urbana-Champaign, 2007-2012; Virginia Tech, 2012-2017",,,"['AUTHOR_ID:57208748450', 'AUTHOR_ID:55602019200']"
1189,James,Turner,Virginia Polytechnic Institute and State University,Professor,James C. Turner,James Turner,2007,Y,PROF,M,,,Mathematics,https://www.linkedin.com/in/james-turner-134b5919/ ; https://ebasi.org/Bio_Turner.pdf,,Carnegie Mellon University,1981-1985,,,,,Ohio State University; Hampton University; Arizona State University,,,"['AUTHOR_ID:8541924700', 'AUTHOR_ID:55447559400', 'AUTHOR_ID:56909239700']"
1190,James,Fraser,Virginia Polytechnic Institute and State University,Professor,James D. Fraser,James Fraser,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:7202394307']
1191,James,Ivory,Virginia Polytechnic Institute and State University,Assistant Professor,James D. Ivory,James Ivory,2005,Y,PROF,M,,,Communication,https://liberalarts.vt.edu/departments-and-schools/department-of-communication/faculty/Jimmy-ivory.html,https://drive.google.com/file/d/1-dnPDASstsuDxdbLhOOmiwatO3MjyQuM/view,"University of North Carolina, Chapel Hill",2002-2005,University of Wyoming,2000-2002,University of Wyoming,1996-2000,,"University of North Carolina, Chapel Hill",,['AUTHOR_ID:18633956900']
1192,James,Mcgrath,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,James E. Mcgrath,James Mcgrath,2014,N,PROF,M,,DECEASED,Chemistry,https://vtnews.vt.edu/articles/2014/05/052014-science-mcgrath.html,,,,,,,,,,,"['AUTHOR_ID:35450138200', 'AUTHOR_ID:57219120422']"
1193,James,Egenrieder,Virginia Polytechnic Institute and State University,Research Asst Professor AY,James Egenrieder,James Egenrieder,2006,Y,RS (DIR),M,,,Education Research and Outreach,https://www.linkedin.com/in/jimegenrieder/ ; https://cligs.vt.edu/people/jim-egenrieder.html,,Virginia Tech,,Virginia Tech,,Penn State University,1986,,,,
1194,James,Wolf,Virginia Polytechnic Institute and State University,Professor,James F. Wolf,James Wolf,,N,PROF EMERITUS,M,,RETIRED,Public Affairs,https://vtnews.vt.edu/articles/2012/04/040212-ncr-emerituswolf.html,,,,,,,,,,,"['AUTHOR_ID:8935581700', 'AUTHOR_ID:57198668469', 'AUTHOR_ID:57190060658']"
1195,James,Jenkins,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,James G. Jenkins,James Jenkins,2018,N,PROF,M,,University of Auburn,Accounting and Information Systems,https://vtnews.vt.edu/articles/2016/08/pamplin-jenkins-professor.html ; file:///Users/matthew/Downloads/Fall%202018%20SOA%20Connection%20FINAL.pdf ; https://harbert.auburn.edu/directory/greg-jenkins.html,,Virginia tech,,Appalachian State University,,Appalachian State University,,North Carolina State UJniversity; Virginia Tech,,,
1196,James,Tokuhisa,Virginia Polytechnic Institute and State University,Assistant Professor,James G. Tokuhisa,James Tokuhisa,2005,Y,ASST,M,,,Biological Sciences,https://www.linkedin.com/in/james-tokuhisa-87ba8322/,,"University of Wisconson, Madison",1979-1986,,,"University of Illinois, Urbana-Champaign",1977-1979,"Washington State University, 1990-2000","CSIRO,Australia,1986-1989; Max Planck Institute for Chemical Ecology, 1998-2005",,['AUTHOR_ID:6602207433']
1197,James,Collier,Virginia Polytechnic Institute and State University,Associate Professor,James H. Collier,James Collier,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:24078192900']
1198,James,Westwood,Virginia Polytechnic Institute and State University,Associate Professor,James H. Westwood,James Westwood,1999,Y,PROF,M,,,Plant and Environmental Sciences,https://spes.vt.edu/faculty-staff/faculty/westwood-james.html,,Purdue University,1994,University of Minnesota,1986,Concordia College,1982,,"Virginia Tech, 1994-1998",,['AUTHOR_ID:35387100100']
1199,James,Yauger,Virginia Polytechnic Institute and State University,Assistant Professor,James H. Yauger,James Yauger,2013,Y,ASST,M,,RETIRED(2019),Building Construction,https://www.linkedin.com/in/jim-yauger-a4013312/,,.,,.,,Texas A&M University,,"Virginia Tech, 2013-2019;Recalled (ADJUNCT) 2019-Present",,,
1200,James,Hanna,Virginia Polytechnic Institute and State University,Assistant Professor,James Hanna,James Hanna,,N,ASSOC,M,,"University of Nevada, Reno",https://www.unr.edu/me/people/james-hanna ; https://scholar.google.com/citations?user=H_lsfuAAAAAJ&hl=en,,,,,,,,,,,,['AUTHOR_ID:9943968800']
1201,James,Kern,Virginia Polytechnic Institute and State University,Assistant Professor,James Kern,James Kern,,,ASST,,,,Engineering Science and Mechanics,https://vtnews.vt.edu/articles/2013/12/120413-engineering-understandingdynamics.html ; https://www.unr.edu/me/people/james-hanna,,Virginia Tech,,Virginia Tech,,Cal Poly Pomona,,,,,['AUTHOR_ID:57213886684']
1202,James,Lord,Virginia Polytechnic Institute and State University,Assistant Professor,James Lord,James Lord,2018,Y,ASST,M,,,Biomedical Engineering and Mechanics,https://www.linkedin.com/in/james-lord-51b95430/,,Newcastle University,2012,Newcastle University,2009,Newcastle University,2008,,"Newcastle University, 2009-2012; California Polytechnic State University, 2013-2014; Virignia Tech, 2014-2018",,['AUTHOR_ID:37054129400']
1203,James,Cissell,Virginia Polytechnic Institute and State University,Assistant Professor,James M. Cissell,James Cissell,,,,,,,.,,,,,,,,,,,,['AUTHOR_ID:56901178500']
1204,James,Goatley,Virginia Polytechnic Institute and State University,Professor,James M. Goatley,James Goatley,2004,Y,PROF,M,,,Plant and Environmental Sciences,https://spes.vt.edu/faculty-staff/faculty/goatley-michael.html,https://spes.vt.edu/content/dam/cses_vt_edu/people/tenure/cv/mgoatley.pdf,Virginia Tech,1988,University of Kentucky,1986,University of Kentucky,1983,"Mississippi State University, 1988-2003",,,['AUTHOR_ID:6603483001']
1205,James,Tanko,Virginia Polytechnic Institute and State University,Professor,James M. Tanko,James Tanko,1986,Y,PROF,M,,,Chemistry,https://chem.vt.edu/people/faculty/teaching-and-research/jtanko.html,,Iowa State University,1985,.,,"University of Maryland, Baltimore County",1978,,"Penn State University, 1984-1986",,['AUTHOR_ID:7003320782']
1206,James,Hicks,Virginia Polytechnic Institute and State University,Professor,James O. Hicks,James Hicks,,N,PROF EMERITUS,M,,RETIRED,Accounting and Information Systems,https://vtnews.vt.edu/articles/2013/09/091313-pamplin-emeritushicks.html,,,,,,,,,,,"['AUTHOR_ID:7202879352', 'AUTHOR_ID:57213309759', 'AUTHOR_ID:57011563700', 'AUTHOR_ID:24080211200']"
1207,James,Pickett,Virginia Polytechnic Institute and State University,Professor,James P. Pickett,James Pickett,,N,PROF EMERITUS,M,,RETIRED(2018),Small Animal Clinical Sciences,,,,,,,,,,"University of Wisconsin, Madison",,
1208,James,Bohland,Virginia Polytechnic Institute and State University,Professor,James R. Bohland,James Bohland,,N,PROF EMERITUS,M,,RETIRED,Urban Affairs and Planning,https://vtnews.vt.edu/articles/2012/03/032712-caus-emeritusbohland.html,,,,,,,,,,,['AUTHOR_ID:6701844908']
1209,James,Craig,Virginia Polytechnic Institute and State University,Professor,James R. Craig,James Craig,,N,PROF EMERITUS,M,,RETIRED,Geosciences,https://geos.vt.edu/people/emeritus-faculty/James-Craig.html,,,,,,,,,,,['AUTHOR_ID:57202034817']
1210,James,Harris,Virginia Polytechnic Institute and State University,Professor,James R. Harris,James Harris,,N,PROF EMERITUS,M,,RETIRED(2018),Horticulture,https://vtnews.vt.edu/articles/2018/09/cals-harris.html,,,,,,,,,,,['AUTHOR_ID:56315076500']
1211,James,Jones,Virginia Polytechnic Institute and State University,Professor,James R. Jones,James Jones,1997,Y,PROF,M,,,Architecture,https://archdesign.caus.vt.edu/faculty/james-r-jones-ph-d/,,University of Michigan,1979-1995,University of Michigan,,University of Michigan,,,,,"['AUTHOR_ID:55725756400', 'AUTHOR_ID:56583022500', 'AUTHOR_ID:57209898430']"
1212,James,Martin,Virginia Polytechnic Institute and State University,Professor,James R. Martin,James Martin,2018,N,DEAN,M,,University of Pittsburgh,Civil and Environmental Engineering,https://www.bizjournals.com/pittsburgh/news/2018/03/21/pitt-names-new-dean-for-engineering-school.html ; https://cee.vt.edu/alumnua-james-r-martin-names-dean-of-engineering-at-university-of-pittsburgh/,,Virginia Tech,1990,Virginia Tech,1987,Citadel University,,"Virginia Tech, 1990-2013",,,"['AUTHOR_ID:35616840900', 'AUTHOR_ID:55727538100']"
1213,James,Sochinski,Virginia Polytechnic Institute and State University,Professor,James R. Sochinski,James Sochinski,1977,Y,PROF,M,,RETIRED(2019),Music,https://vtnews.vt.edu/articles/2019/10/clahs-james-sochinski-emeritus.html ; https://www.windrep.org/James_Sochinski,,University of Miami,,John Hopkins University,,University of Missouri,,South Carolina State University,United States Army Field Band; ,,
1214,James,Owen,Virginia Polytechnic Institute and State University,Assistant Professor,James S. Owen,James Owen,2011,Y,ASSOC,M,,United States Department of Agriculture(2020),Horticulture,https://www.arec.vaes.vt.edu/arec/hampton-roads/people/jim-owen.html ; linkedin.com/in/jim-owen/,,North Carolina State University,2006,University of Rhode Island,2002,University of Kentucky,1999,"Oregon State University, 2006-2011",,,['AUTHOR_ID:8947710900']
1215,James,Smyth,Virginia Polytechnic Institute and State University,Assistant Professor,James Smyth,James Smyth,2014,Y,ASSOC,M,,,Biological Sciences,https://fbri.vtc.vt.edu/people-directory/primary-faculty/smyth.html,https://fbri.vtc.vt.edu/content/dam/fbri_vtc_vt_edu/pi-resumes/JSmyth%20CV%20July%202020.pdf,"Trinity College, Ireland",1999-2005,.,,"University College, Dublin",1994-1998,,"University of California, San Fransisco, 2005-2013; Cedars-Sinai Medical Center, 2013-2014",,['AUTHOR_ID:23981599600']
1216,James,Garrison,Virginia Polytechnic Institute and State University,Professor,James W. Garrison,James Garrison,1985,Y,PROF,M,,,Education,https://liberalarts.vt.edu/departments-and-schools/school-of-education/faculty/jim-garrison.html,https://drive.google.com/file/d/1qvhW4Ti6kz26r2sYAQouYrkWh7zVEVLc/preview,Florida State University,1981,Florida State University; Florida State University,1979; 1981,University of Central Florida; Florida State University,1973;1980,,"Florida State University, 1983-1985",,"['AUTHOR_ID:16405930800', 'AUTHOR_ID:57036386500', 'AUTHOR_ID:57212977172']"
1217,James,Knight,Virginia Polytechnic Institute and State University,Professor,James W. Knight,James Knight,1976,Y,PROF,M,,,Animal and Poultry Sciences,https://www.apsc.vt.edu/OurPeople/Faculty/jimknight.html ; https://www.linkedin.com/in/james-knight-262a053a/,,University of Florida,1970-1975,University of Florida,,"University of Louisianna, Lafayette",1966-1970,,"University of Missouri, 1975-1976",,['AUTHOR_ID:7401751780']
1218,James,Pease,Virginia Polytechnic Institute and State University,Professor,James W. Pease,James Pease,1988,Y,PROF,M,,RETIRED(2019),Agricultural and Applied Economics,https://vtnews.vt.edu/articles/2019/03/cals-aaec-pease-emeritus.html,,Michigan State University,1986,University of Wisconsin,1980,Iowa State University,1971,,,,['AUTHOR_ID:7006480661']
1219,James,Weger,Virginia Polytechnic Institute and State University,Research Asst Professor AY,James Weger,James Weger,2018,Y,RS ASST,M,,,Biomedical Sciences and Pathobiology,https://www.vetmed.vt.edu/people/bios/weger.asp,,University of Wisconsin-Maddison,2015,,,University of Wisconsin-Maddison,2010,,"Colorado State University, 2015-2017; Institut Pateur, France, 2017-2018",,['AUTHOR_ID:56310650300']
1220,Jamie,Zoellner,Virginia Polytechnic Institute and State University,Assistant Professor,Jamie M. Zoellner,Jamie Zoellner,2014,Y,PROF,F,,,.,https://www.linkedin.com/in/jamie-zoellner-16129b44/,,Colorado State University,,Chicago Medical School,,"University of Missouri, Columbia",,,,,['AUTHOR_ID:8675982100']
1221,Jamie,Stewart,Virginia Polytechnic Institute and State University,Assistant Professor,Jamie Stewart,Jamie Stewart,2018,Y,ASST,M,,,Large Animal Clinical Sciences,https://www.vetmed.vt.edu/people/bios/stewart-j.asp,,University of Illinois; University of Illinois,2013; 2019,University of Illinois,2015,University of Illinois,2009,,,,['AUTHOR_ID:57189632733']
1222,Jamshid,Davoodi,Virginia Polytechnic Institute and State University,Research Assistant Professor,Jamshid Davoodi,Jamshid Davoodi,2009,Y,RS ASST,M,,,"Human Nutrition, Food, and Exercise Science",https://www.linkedin.com/in/jamshid-davoodi-4248939b/,,"University of Ottowa, Canada",1995,"University of Tehran, Iran",1991,"University of Tehran, Iran",1989,,"Wake Forest University, 1996",,['AUTHOR_ID:6507434170']
